,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,agogo,6.8,-1.0819,69.44,97.0,99.0,3.69,GH,1619307421.0
1,sao joao da barra,-21.6403,-41.0511,71.76,84.0,10.0,3.51,BR,1619307421.0
2,dire dawa,9.5931,41.8661,70.18,70.0,37.0,11.21,ET,1619307422.0
3,ushuaia,-54.8,-68.3,50.0,57.0,40.0,9.22,AR,1619307289.0
4,abu samrah,35.3029,37.1841,71.19,38.0,66.0,3.44,SY,1619307422.0
5,sangar,63.9242,127.4739,27.9,91.0,99.0,2.01,RU,1619307423.0
6,rikitea,-23.1203,-134.9692,78.6,74.0,100.0,12.59,PF,1619307423.0
7,longyearbyen,78.2186,15.6401,23.0,80.0,75.0,4.61,SJ,1619307423.0
8,pitimbu,-7.4706,-34.8086,77.0,94.0,75.0,3.44,BR,1619307424.0
9,atar,20.5169,-13.0499,80.35,14.0,1.0,4.72,MR,1619307424.0
10,yellowknife,62.456,-114.3525,19.4,49.0,75.0,14.97,CA,1619307424.0
11,lumsden,50.6501,-104.8678,46.4,17.0,20.0,8.05,CA,1619307425.0
12,east london,-33.0153,27.9116,65.03,81.0,72.0,4.92,ZA,1619307425.0
13,lufilufi,-13.8745,-171.5986,89.6,74.0,20.0,9.22,WS,1619307426.0
14,busselton,-33.65,115.3333,63.32,80.0,1.0,1.61,AU,1619307414.0
15,villanueva,15.3167,-88.0,89.6,58.0,0.0,11.5,HN,1619307426.0
16,adrar,20.5022,-10.0711,79.9,11.0,30.0,9.64,MR,1619307306.0
17,mataura,-46.1927,168.8643,48.0,77.0,91.0,11.01,NZ,1619307204.0
18,cervo,43.6702,-7.4101,59.0,83.0,100.0,1.05,ES,1619307427.0
19,hobart,-42.8794,147.3294,55.0,71.0,75.0,11.5,AU,1619307427.0
20,khatanga,71.9667,102.5,31.71,94.0,100.0,18.07,RU,1619307427.0
21,rio gallegos,-51.6226,-69.2181,48.2,66.0,0.0,6.91,AR,1619307428.0
22,san carlos de bariloche,-41.1456,-71.3082,59.0,38.0,0.0,5.75,AR,1619307373.0
23,thompson,55.7435,-97.8558,28.4,46.0,75.0,4.61,CA,1619307196.0
24,arlit,18.7369,7.3853,88.03,11.0,32.0,3.2,NE,1619307428.0
25,barra do garcas,-15.89,-52.2567,73.4,78.0,0.0,1.19,BR,1619307429.0
26,shingu,33.7333,135.9833,62.6,67.0,40.0,4.61,JP,1619307239.0
27,bluff,-46.6,168.3333,48.0,77.0,94.0,11.01,NZ,1619307198.0
28,jamestown,42.097,-79.2353,55.4,38.0,90.0,11.5,US,1619307429.0
29,new norfolk,-42.7826,147.0587,55.0,67.0,90.0,1.01,AU,1619307430.0
30,prince rupert,54.3161,-130.3201,57.2,54.0,40.0,6.91,CA,1619307430.0
31,pathein,16.7833,94.7333,79.54,75.0,14.0,5.06,MM,1619307430.0
32,chardara,41.2547,67.9692,61.57,46.0,4.0,7.72,KZ,1619307431.0
33,arraial do cabo,-22.9661,-42.0278,75.2,83.0,40.0,2.3,BR,1619307227.0
34,nome,64.5011,-165.4064,41.0,70.0,1.0,3.56,US,1619307431.0
35,lebu,-37.6167,-73.65,54.09,82.0,0.0,15.93,CL,1619307432.0
36,port alfred,-33.5906,26.891,65.5,85.0,78.0,7.25,ZA,1619307432.0
37,san quintin,30.4833,-115.95,62.2,71.0,54.0,18.61,MX,1619307432.0
38,olinda,-8.0089,-34.8553,78.8,69.0,0.0,6.91,BR,1619307433.0
39,cabo san lucas,22.8909,-109.9124,82.0,25.0,1.0,12.66,MX,1619307433.0
40,monrovia,6.3005,-10.7969,81.81,80.0,60.0,6.82,LR,1619307433.0
41,wakkanai,45.4094,141.6739,34.57,96.0,100.0,11.21,JP,1619307434.0
42,qaanaaq,77.484,-69.3632,26.69,69.0,95.0,7.45,GL,1619307434.0
43,maceio,-9.6658,-35.7353,75.2,94.0,0.0,4.61,BR,1619307162.0
44,butaritari,3.0707,172.7902,82.22,77.0,42.0,10.09,KI,1619307435.0
45,kurchum,48.5722,83.6542,34.59,55.0,1.0,4.7,KZ,1619307435.0
46,richards bay,-28.783,32.0377,68.72,87.0,87.0,10.27,ZA,1619307435.0
47,bud,39.447,-86.1758,52.0,93.0,100.0,1.99,US,1619307436.0
48,ixtapa,20.7,-105.2,81.0,69.0,90.0,11.5,MX,1619307436.0
49,albany,42.6001,-73.9662,64.4,29.0,75.0,3.44,US,1619307343.0
50,rapid valley,44.0625,-103.1463,53.01,50.0,1.0,16.11,US,1619307437.0
51,punta arenas,-53.15,-70.9167,46.4,66.0,0.0,14.97,CL,1619307437.0
52,berlevag,70.8578,29.0864,33.93,69.0,99.0,14.18,NO,1619307287.0
53,novoagansk,61.9449,76.6625,33.57,99.0,100.0,1.81,RU,1619307437.0
54,mar del plata,-38.0023,-57.5575,59.0,77.0,0.0,5.75,AR,1619307438.0
55,klaksvik,62.2266,-6.589,42.8,87.0,100.0,5.55,FO,1619307438.0
56,ketchikan,55.3422,-131.6461,60.8,29.0,20.0,12.66,US,1619307188.0
57,bonavista,48.6499,-53.1147,42.8,61.0,72.0,8.05,CA,1619307439.0
58,avarua,-21.2078,-159.775,82.4,74.0,20.0,11.5,CK,1619307439.0
59,vaini,-21.2,-175.2,82.4,78.0,40.0,5.75,TO,1619307439.0
60,biak,-0.9131,122.8766,80.58,71.0,90.0,5.21,ID,1619307440.0
61,mahebourg,-20.4081,57.7,78.8,78.0,75.0,14.97,MU,1619307440.0
62,kargil,34.5667,76.1,27.23,39.0,37.0,3.36,IN,1619307440.0
63,iqaluit,63.7506,-68.5145,32.0,86.0,75.0,2.3,CA,1619307441.0
64,daru,-9.0763,143.2092,78.78,85.0,99.0,5.26,PG,1619307222.0
65,samarai,-10.6167,150.6667,84.31,72.0,39.0,14.99,PG,1619307441.0
66,kindu,-2.95,25.95,69.28,99.0,100.0,0.78,CD,1619307442.0
67,pangoa,-12.1167,-73.0,70.27,96.0,17.0,1.63,PE,1619307410.0
68,bredasdorp,-34.5322,20.0403,48.2,93.0,83.0,3.44,ZA,1619307442.0
69,bethel,41.3712,-73.414,62.6,27.0,1.0,11.5,US,1619307442.0
70,talnakh,69.4865,88.3972,15.28,94.0,97.0,9.62,RU,1619307377.0
71,hamilton,39.1834,-84.5333,53.01,87.0,90.0,6.91,US,1619307443.0
72,rabo de peixe,37.8,-25.5833,59.0,82.0,75.0,16.11,PT,1619307443.0
73,barrow,71.2906,-156.7887,30.2,80.0,1.0,5.75,US,1619307443.0
74,kupang,-10.1667,123.5833,80.42,75.0,7.0,8.57,ID,1619307444.0
75,ilulissat,69.2167,-51.1,46.4,49.0,11.0,19.57,GL,1619307265.0
76,lincoln,40.8,-96.667,62.6,31.0,1.0,4.61,US,1619307444.0
77,ambilobe,-13.2,49.05,71.51,92.0,36.0,3.31,MG,1619307445.0
78,guerrero negro,27.9769,-114.0611,64.54,63.0,14.0,19.33,MX,1619307445.0
79,asfi,32.2994,-9.2372,62.62,80.0,0.0,12.26,MA,1619307445.0
80,cape town,-33.9258,18.4232,61.0,88.0,0.0,1.14,ZA,1619307446.0
81,hermanus,-34.4187,19.2345,63.0,81.0,93.0,8.99,ZA,1619307446.0
82,partyzany,46.3314,34.7503,41.94,58.0,61.0,4.65,UA,1619307447.0
83,dargaville,-35.9333,173.8833,65.19,50.0,2.0,10.02,NZ,1619307447.0
84,sfantu gheorghe,45.8667,25.7833,43.0,70.0,65.0,2.68,RO,1619307447.0
85,fairbanks,64.8378,-147.7164,60.8,17.0,1.0,3.44,US,1619307167.0
86,cam ranh,11.9214,109.1591,80.6,78.0,20.0,4.61,VN,1619307448.0
87,esperance,-33.8667,121.9,55.4,88.0,57.0,17.27,AU,1619307448.0
88,te anau,-45.4167,167.7167,47.07,75.0,91.0,9.31,NZ,1619307448.0
89,atuona,-9.8,-139.0333,80.67,73.0,17.0,14.5,PF,1619307449.0
90,aloleng,16.1307,119.7824,80.83,67.0,33.0,6.38,PH,1619307165.0
91,inirida,3.8653,-67.9239,76.41,93.0,99.0,1.25,CO,1619307449.0
92,hongjiang,27.11,109.9956,57.02,96.0,100.0,4.05,CN,1619307450.0
93,tello,3.0669,-75.1378,76.21,77.0,67.0,3.65,CO,1619307450.0
94,enkoping,59.6361,17.0777,36.0,69.0,97.0,3.44,SE,1619307450.0
95,geraldton,-28.7667,114.6,57.2,82.0,56.0,8.05,AU,1619307451.0
96,ribeira grande,38.5167,-28.7,59.58,76.0,97.0,21.0,PT,1619307451.0
97,komsomolskiy,40.4272,71.7189,55.4,50.0,21.0,6.91,UZ,1619307288.0
98,san jose,37.3394,-121.895,68.0,42.0,75.0,14.97,US,1619307204.0
99,hervey bay,-25.2986,152.8535,73.0,69.0,1.0,5.99,AU,1619307452.0
100,hare bay,48.8499,-54.0148,42.8,61.0,92.0,8.05,CA,1619307452.0
101,isangel,-19.55,169.2667,82.4,78.0,75.0,5.75,VU,1619307199.0
102,qaqortoq,60.7167,-46.0333,53.6,32.0,75.0,28.77,GL,1619307452.0
103,souillac,-20.5167,57.5167,78.8,78.0,75.0,14.97,MU,1619307453.0
104,kapaa,22.0752,-159.319,80.6,61.0,40.0,17.27,US,1619307213.0
105,agadez,19.75,10.25,84.13,12.0,24.0,3.53,NE,1619307453.0
106,clyde river,70.4692,-68.5914,17.6,100.0,90.0,14.97,CA,1619307453.0
107,santa rosa,14.3122,121.1114,82.99,78.0,20.0,5.75,PH,1619307245.0
108,kaitangata,-46.2817,169.8464,52.0,63.0,68.0,11.01,NZ,1619307454.0
109,bechem,7.0903,-2.025,71.38,95.0,93.0,6.15,GH,1619307454.0
110,katsuura,35.1333,140.3,64.4,59.0,75.0,13.8,JP,1619307223.0
111,bozuyuk,39.9078,30.0367,51.8,93.0,75.0,11.5,TR,1619307455.0
112,severo-kurilsk,50.6789,156.125,34.77,97.0,100.0,4.88,RU,1619307226.0
113,sheregesh,52.9209,87.9869,30.24,96.0,100.0,3.6,RU,1619307455.0
114,saint-pierre,-21.3393,55.4781,78.8,73.0,90.0,23.02,RE,1619307455.0
115,nuuk,64.1835,-51.7216,37.4,75.0,40.0,12.66,GL,1619307241.0
116,karratha,-20.7377,116.8463,80.24,30.0,0.0,12.03,AU,1619307456.0
117,dingle,10.9995,122.6711,82.29,71.0,100.0,1.39,PH,1619307456.0
118,la palma,33.8464,-118.0467,69.8,59.0,75.0,12.66,US,1619307456.0
119,cidreira,-30.1811,-50.2056,69.03,89.0,72.0,7.81,BR,1619307457.0
120,narsaq,60.9167,-46.05,53.6,32.0,75.0,28.77,GL,1619307364.0
121,chapais,49.7834,-74.8492,41.0,60.0,90.0,11.5,CA,1619307165.0
122,whitehorse,60.7161,-135.0538,50.0,25.0,40.0,3.44,CA,1619307458.0
123,okha,53.5739,142.9478,29.44,68.0,92.0,11.48,RU,1619307458.0
124,faanui,-16.4833,-151.75,80.31,69.0,100.0,9.37,PF,1619307458.0
